,Unnamed: 0,title,view,like,unlike,date,token
1031,1031,산들 - 그렇게 있어줘 세로라이브 SANDEUL - Stay As You Are,349906.0,8000.0,35.0,2016. 10. 5.,"['세로', '라이브']"
1032,1032,DF Interview 아이언편,223945.0,1000.0,491.0,2016. 9. 27.,"['언편', '아이']"
1033,1033,회식라이브 어반자카파 - 목요일 밤,304703.0,1000.0,22.0,2016. 9. 24.,"['반자', '카파', '라이브', '요일', '회식']"
1034,1034,소란X권정열 - 너를 보네 세로라이브 Soran X 10cm Kwon Jeong Yeol ,369419.0,4000.0,32.0,2016. 9. 22.,"['라이브', '정열', '소란']"
1035,1035,이예준 - Be Mine 세로라이브 Lee Ye Joon,68529.0,938.0,6.0,2016. 9. 21.,"['세로', '라이브']"
1036,1036,100초 100초로 듣는 클래지콰이,716035.0,10000.0,108.0,2016. 9. 20.,['클래']
1037,1037,이슬라이브 2PM - Hands UP,216471.0,5000.0,51.0,2016. 9. 18.,"['라이브', '이슬']"
1038,1038,이슬라이브 2PM - Promise,295822.0,10000.0,70.0,2016. 9. 16.,"['라이브', '이슬']"
1039,1039,BEST5 SPICA 2011년  08월 명곡,127835.0,4000.0,9.0,2016. 9. 11.,['명곡']
1040,1040,밴라이브 어반자카파X빈지노 - 목요일 밤,2705775.0,20000.0,235.0,2016. 9. 8.,"['반자', '빈지', '카파', '라이브', '요일']"
1041,1041,DF Interview 스윙스편,90046.0,513.0,81.0,2016. 9. 8.,['스윙']
1042,1042,스윙스 Swings - Your Soul 세로라이브,154926.0,1000.0,147.0,2016. 9. 8.,"['세로', '라이브']"
1043,1043,반반라이브 허각 플렌에이 - Begin Again,73140.0,2000.0,8.0,2016. 9. 2.,"['에이', '라이브', '반반']"
1044,1044,작업실 라이브 ELO - Tattoo Feat 박재범,179885.0,4000.0,14.0,2016. 8. 26.,"['라이브', '작업실', '박재']"
1045,1045,배너라이브 SPICA - Secret Time,63147.0,2000.0,8.0,2016. 8. 25.,['라이브']
1046,1046,댄스어택 씨스타 - I Like That,2851548.0,20000.0,401.0,2016. 8. 20.,"['어택', '댄스', '스타']"
1047,1047,BEST5 나인뮤지스 A 추억의 여가수 노래방,94802.0,1000.0,15.0,2016. 8. 20.,"['추억', '가수', '노래방']"
1048,1048,밴라이브 스윗소로우 - 히트곡 메들리 아카펠라,242221.0,4000.0,19.0,2016. 8. 18.,"['카펠라', '소로', '히트곡', '메들리', '라이브']"
1049,1049,자장가라이브 니엘 -  Slow Motion Karina Pasian Cover,24286.0,485.0,23.0,2016. 8. 16.,"['라이브', '자장가']"
1050,1050,큐브라이브 업텐션  - 오늘이 딱이야,210541.0,7000.0,51.0,2016. 8. 10.,"['딱이', '라이브', '큐브', '오늘', '텐션']"
1051,1051,JUNK&백아연 - 가지 마 반반라이브,431465.0,10000.0,58.0,2016. 8. 2.,"['라이브', '백아', '반반', '가지']"
1052,1052,김희철 & 김정모 - 울산바위 세로라이브 KIM HEECHUL & KIM JUNGMO - Ulsanbawi,91611.0,2000.0,15.0,2016. 8. 1.,"['정모', '바위', '라이브', '세로', '울산']"
1053,1053,노래방라이브 챈슬러 - Sugar Maroon5 Cover,97074.0,1000.0,18.0,2016. 7. 29.,"['라이브', '노래방']"
1054,1054,이슬라이브 원더걸스 - Why So Lonely,3723387.0,50000.0,713.0,2016. 7. 22.,"['라이브', '이슬']"
1055,1055,네모라이브 권진아 LOVE 샘김 - 여기까지,1981208.0,30000.0,183.0,2016. 7. 21.,"['라이브', '네모']"
1056,1056,주니엘 - 물고기자리 세로라이브 JUNIEL - Pisces,139579.0,1000.0,27.0,2016. 7. 18.,"['라이브', '주니', '세로', '물고', '기자']"
1057,1057,존박 - 네 생각 세로라이브 John Park - Thought Of You,896663.0,9000.0,77.0,2016. 7. 15.,"['세로', '라이브', '생각']"
1058,1058,세로라이브 CHEEZE - 무드인디고,377032.0,4000.0,25.0,2016. 7. 14.,"['인디고', '세로', '라이브', '무드']"
1059,1059,린 - 그대만의 것 세로라이브 Lyn - Only Yours,141844.0,1000.0,28.0,2016. 7. 13.,"['세로', '라이브']"
1060,1060,캘리가사집 손승연앤덥 - 보란듯이,10081.0,65.0,0.0,2016. 7. 11.,['사집']
1061,1061,세로라이브 하상욱 옥상달빛 - 좋은생각이 났어 니 생각,151076.0,1000.0,11.0,2016. 7. 11.,"['달빛', '라이브', '옥상', '세로', '하상', '생각']"
1062,1062,네모라이브 스컬&하하-웃지마featMC민지,115002.0,1000.0,20.0,2016. 7. 9.,"['민지', '라이브', '네모', '스컬']"
1063,1063,이슬라이브 장기하와 얼굴들 - ㅋ,1291762.0,10000.0,135.0,2016. 7. 8.,"['이슬', '라이브', '장기', '얼굴', '하와']"
1064,1064,멜로디데이 - 깔로 세로라이브 MELODYDAY - Color,91282.0,1000.0,15.0,2016. 7. 7.,"['세로', '라이브', '멜로디', '데이']"
1065,1065,원더걸스 - Why So Lonely 세로라이브 Wonder Girls - Why So Lonely,3664775.0,80000.0,439.0,2016. 7. 5.,"['세로', '라이브']"
1066,1066,세로라이브 손승연 - 보란듯이 feat 앤덥,568363.0,3000.0,51.0,2016. 7. 4.,"['세로', '라이브']"
