,token,view,count,view_count
586,쓰레기,476952.0,1,476952.0
587,씨티,30080.0,1,30080.0
588,아가,82148.0,1,82148.0
589,아기,30080.0,1,30080.0
590,아노,6921600.0,10,692160.0
591,아들,38344.0,1,38344.0
592,아로마,87558.0,1,87558.0
593,아리,79977.0,1,79977.0
594,아몬드,122150.0,1,122150.0
595,아무말,53174.0,1,53174.0
596,아버지,299347.0,2,149673.5
597,아소,98884.0,1,98884.0
598,아어,233759.0,1,233759.0
599,아연,56934.0,2,28467.0
600,아이,28610782.0,39,733609.7948717949
601,아이스하키,720854.0,1,720854.0
602,아이콘,8561607.0,4,2140401.75
603,아침,339682.0,2,169841.0
604,아티스트,8435.0,1,8435.0
605,아해,1853456.0,3,617818.6666666666
606,악동,14295813.0,5,2859162.6
607,악어,5734.0,1,5734.0
608,안녕,177537.0,3,59179.0
609,안무,1252826.0,1,1252826.0
610,안부,79977.0,1,79977.0
611,알라딘,214166.0,1,214166.0
612,알바,243027.0,1,243027.0
613,알콜,375048.0,1,375048.0
614,알토,222626.0,3,74208.66666666667
615,암전,151228.0,1,151228.0
616,압구정,150749.0,1,150749.0
617,애교,1249718.0,4,312429.5
618,애창곡,1563028.0,1,1563028.0
619,앤드,27052.0,1,27052.0
620,앨범,495282.0,5,99056.4
621,야경,188479.0,1,188479.0
622,야생화,104768.0,1,104768.0
623,야식,86703.0,1,86703.0
624,양요,109880.0,1,109880.0
625,얘기,720703.0,1,720703.0
626,어금니,212282.0,1,212282.0
627,어깨,2305289.0,1,2305289.0
628,어른,308567.0,2,154283.5
629,어린이,29519.0,1,29519.0
630,어제,3559.0,1,3559.0
631,어젯밤,177479.0,1,177479.0
632,어쿠스틱,1192665.0,10,119266.5
633,어택,6609068.0,14,472076.28571428574
634,언니,162956.0,1,162956.0
635,언편,223945.0,1,223945.0
636,얼굴,3159888.0,7,451412.5714285714
637,엄마,3052706.0,3,1017568.6666666666
638,엄정,693673.0,2,346836.5
639,엄주,46351.0,1,46351.0
