,Unnamed: 0,title,view,like,unlike,date,token
408,408,릴레이보이 훈남 모델들이 여자의 머리를 감겨준다면,551578.0,2000.0,58.0,2016. 9. 9.,"['머리', '릴레이', '모델', '보이', '여자']"
409,409,쇼핑메이트 잘생긴 남자모델이 나의 쇼핑을 도와준다면02 장성훈,144952.0,841.0,12.0,2016. 9. 9.,"['모델', '장성', '쇼핑', '나의', '메이트', '남자']"
410,410,쇼핑메이트 남친미 냥냥한 훈남 모델과 쇼핑을 한다면 01 강희,179764.0,823.0,16.0,2016. 8. 29.,"['모델', '메이트', '남친', '쇼핑']"
411,411,릴레이보이 훈남모델 4명이 여자1명과 귀신의집을 간다면,604690.0,3000.0,108.0,2016. 8. 26.,"['릴레이', '모델', '보이', '귀신', '여자']"
412,412,수고했어 오늘도 좋아하는 연예인과 밥을 먹는다면 6 원더걸스 유빈,1729453.0,9000.0,210.0,2016. 8. 19.,"['수고', '연예인']"
413,413,릴레이보이 훈남4명이 여자1명과 요리를 한다면,258259.0,1000.0,26.0,2016. 8. 12.,"['여자', '요리', '보이', '릴레이']"
414,414,훈남저격3 성균관대,234877.0,569.0,73.0,2016. 8. 11.,"['성균관', '저격']"
415,415,수고했어 오늘도 현아가 나의 알바를 도와준다면 5 현아,1856917.0,10000.0,205.0,2016. 8. 5.,"['알바', '아가', '수고', '나의']"
416,416,릴레이보이 남자 모델들이 커플요가를 한다면,89609.0,598.0,7.0,2016. 7. 27.,"['릴레이', '모델', '요가', '보이', '커플', '남자']"
417,417,나는 주인공이다 7화 카페에서 폭탄제거하는 난 뭐야,10924.0,65.0,2.0,2016. 7. 25.,"['폭탄', '주인공', '제거', '카페']"
418,418,나는 주인공이다 8화 클럽 섹시녀 나 주인공이야 뭐야,548854.0,766.0,104.0,2016. 7. 25.,"['클럽', '주인공', '섹시']"
419,419,오늘의 패피 3,6379.0,29.0,0.0,2016. 7. 22.,['오늘']
420,420,수고했어 오늘도 동백꽃 용식이가 고기를 구워 먹여준다면 4 강하늘,984657.0,6000.0,78.0,2016. 7. 22.,"['동백꽃', '용식이', '고기', '수고', '하늘']"
421,421,릴레이보이남자들이 여자에게 네일아트를 해준다면,175209.0,745.0,12.0,2016. 7. 13.,"['릴레이', '보이', '여자', '남자', '아트']"
422,422,나는 주인공이다 6화 갑자기 차에 치인 무언가 길거리 헌팅이야 뭐야,10840.0,76.0,2.0,2016. 7. 7.,"['무언가', '길거리', '주인공', '헌팅']"
423,423,나는 주인공이다 5화 섹시 청순 둘 다 내꺼 어장관리야 뭐야,14497.0,82.0,2.0,2016. 7. 7.,"['어장', '주인공', '섹시', '관리']"
424,424,나는 주인공이다 4화 인공호흡하려고 사심이야 뭐야,41788.0,143.0,12.0,2016. 7. 7.,"['주인공', '사심', '인공', '호흡']"
425,425,나는 주인공이다 3화 버스에서 이러면 그린라이트야 뭐야,398827.0,749.0,143.0,2016. 7. 6.,"['그린', '주인공', '버스', '라이트']"
