,token,like,count,like_count
942,하늘,6000.0,1,6000.0
943,하늬,2055.0,2,1027.5
944,하루,6912.0,3,2304.0
945,하상,2000.0,1,2000.0
946,하우스,48.0,1,48.0
947,하이,7000.0,1,7000.0
948,하이라이트,20736.0,8,2592.0
949,하인드,3000.0,1,3000.0
951,하트,69.0,1,69.0
952,학교,181366.0,7,25909.428571428572
953,학생,50000.0,1,50000.0
954,한국,2080.0,2,1040.0
955,한때,289.0,1,289.0
956,한마디,10000.0,2,5000.0
957,한방,6000.0,1,6000.0
958,한번쯤,782.0,2,391.0
959,한복,2000.0,1,2000.0
960,한복판,1000.0,1,1000.0
961,한상혁,240.0,1,240.0
962,한여름,354.0,1,354.0
963,한의,22.0,1,22.0
964,할머니,10000.0,1,10000.0
966,합승,2000.0,1,2000.0
967,핫도그,84.0,1,84.0
968,항공,952.0,1,952.0
969,항정,259.0,1,259.0
970,해리,252.0,1,252.0
971,해상,171.0,1,171.0
972,해설,1000.0,1,1000.0
973,해소,283.0,1,283.0
974,해피,174.0,1,174.0
975,행동,25989.0,5,5197.8
976,행복,40000.0,3,13333.333333333334
977,향기,773.0,1,773.0
978,향수,807.0,1,807.0
979,허리,4000.0,1,4000.0
980,허세,289.0,1,289.0
981,헌팅,932.0,2,466.0
982,헤어,69.0,1,69.0
983,헬스,3000.0,1,3000.0
984,현관문,10000.0,1,10000.0
986,현장,356.0,1,356.0
987,현진건,289.0,1,289.0
988,형식,1000.0,1,1000.0
989,형제,17.0,1,17.0
990,호강,50.0,1,50.0
992,호정,27.0,1,27.0
994,호화,171.0,1,171.0
995,호흡,30143.0,2,15071.5
996,혼자,2412.0,2,1206.0
997,화이트,7.0,1,7.0
998,화제,241.0,1,241.0
999,환경,25.0,1,25.0
1000,환장,10040.0,2,5020.0
1001,황우,8000.0,1,8000.0
1002,회사,114.0,1,114.0
1003,회수,250.0,2,125.0
1004,후기,2000.0,1,2000.0
1005,후반부,61.0,1,61.0
1006,후방,2000.0,1,2000.0
1007,후배,6000.0,1,6000.0
1008,희귀,1000.0,1,1000.0
