,token,like,count,like_count
634,우지,30000.0,1,30000.0
635,우편,10000.0,1,10000.0
636,운동,3495.0,3,1165.0
637,운동화,726.0,1,726.0
638,운전,2344.0,2,1172.0
639,울음,9000.0,1,9000.0
640,워킹,4089.0,2,2044.5
641,워터,277.0,1,277.0
642,원의,6007.0,2,3003.5
643,원주,185.0,1,185.0
644,월경,698.0,1,698.0
645,웨딩,240.0,1,240.0
646,위기,61.0,1,61.0
647,위크,539.0,6,89.83333333333333
648,위험,145.0,1,145.0
649,윌리엄,948.0,1,948.0
650,유년,1000.0,1,1000.0
651,유니버설,509.0,2,254.5
652,유방,80.0,1,80.0
653,유병,1000.0,1,1000.0
654,유아,4000.0,1,4000.0
656,유지,9000.0,1,9000.0
657,유해,174.0,1,174.0
658,유행,2000.0,1,2000.0
659,윤기,897.0,1,897.0
660,음란,10000.0,1,10000.0
661,음식,2276.0,4,569.0
662,음악,52.0,1,52.0
663,음치,2000.0,1,2000.0
664,음향,136.0,1,136.0
665,응원,1672.0,2,836.0
666,의리,208.0,1,208.0
667,의미,39.0,1,39.0
668,이랑,2000.0,1,2000.0
669,이래,6000.0,1,6000.0
670,이번,958.0,5,191.6
671,이벤트,86000.0,2,43000.0
673,이브,64.0,1,64.0
674,이상,1302.0,3,434.0
675,이상형,1325.0,2,662.5
676,이세영,3000.0,1,3000.0
678,이스트,10000.0,1,10000.0
679,이시,11000.0,2,5500.0
680,이야기,16022.0,4,4005.5
681,이연,55.0,1,55.0
682,이용권,540.0,1,540.0
684,이입,182.0,1,182.0
685,이제,79.0,1,79.0
686,이진,313.0,1,313.0
687,이태원,857.0,1,857.0
688,이해,322.0,1,322.0
689,인간,6000.0,1,6000.0
690,인격,580.0,1,580.0
692,인사,10.0,1,10.0
693,인사이드,653.0,3,217.66666666666666
694,인생,106422.0,17,6260.117647058823
695,인스턴트,298.0,1,298.0
696,인어,2856.0,5,571.2
697,인조,2000.0,2,1000.0
698,인터뷰,67564.0,11,6142.181818181818
699,인턴,93414.0,16,5838.375
700,일리,2000.0,1,2000.0
701,일반인,116.0,1,116.0
702,일본,223.0,3,74.33333333333333
703,일본어,3930.0,5,786.0
704,일일,53000.0,2,26500.0
705,일터,25.0,1,25.0
706,자기,10000.0,1,10000.0
707,자료,1000.0,1,1000.0
708,자리,10000.0,1,10000.0
709,자막,55000.0,5,11000.0
710,자세,3000.0,1,3000.0
712,자연,79.0,1,79.0
714,자지,598.0,1,598.0
715,자취,84.0,1,84.0
716,자취방,84.0,1,84.0
717,자퇴,8000.0,1,8000.0
718,작정,41.0,1,41.0
719,잔망,912.0,1,912.0
720,잔치,30000.0,1,30000.0
721,잠옷,912.0,1,912.0
722,장갑,49.0,1,49.0
724,장기,524.0,4,131.0
725,장난기,1000.0,1,1000.0
726,장대,3000.0,1,3000.0
727,장성,841.0,1,841.0
729,재단,80.0,1,80.0
730,재벌,5.0,1,5.0
732,저격,10463.0,12,871.9166666666666
733,전라도,30000.0,1,30000.0
734,전문,8000.0,1,8000.0
735,전화위복,8000.0,1,8000.0
736,점퍼,952.0,1,952.0
737,정남,1000.0,1,1000.0
738,정력,4000.0,1,4000.0
739,정리,1690.0,3,563.3333333333334
740,정보,171.0,1,171.0
741,정복,937.0,1,937.0
742,정석,10009.0,5,2001.8
743,정성,120.0,1,120.0
744,정식,859.0,1,859.0
745,정용,4000.0,2,2000.0
746,정은,269.0,1,269.0
747,정인,20000.0,1,20000.0
748,정체,4000.0,1,4000.0
749,정호,116.0,1,116.0
750,제거,65.0,1,65.0
751,제대,163.0,1,163.0
752,제왕,302.0,1,302.0
753,제주,881.0,2,440.5
754,제홍,7000.0,1,7000.0
755,젤리,149.0,1,149.0
756,조민,41.0,1,41.0
757,조선,312.0,1,312.0
758,조세,614.0,2,307.0
759,조심,32.0,1,32.0
760,조정,1000.0,1,1000.0
761,조진,55.0,1,55.0
762,조현,10000.0,1,10000.0
763,존경,9000.0,1,9000.0
764,존조,280.0,1,280.0
765,존중,508.0,8,63.5
766,좀비,8000.0,2,4000.0
767,주말,4000.0,1,4000.0
768,주우,57.0,1,57.0
769,주의,46607.0,15,3107.133333333333
770,주인공,12171.0,9,1352.3333333333333
771,주작,6000.0,1,6000.0
772,준비,81253.0,5,16250.6
773,준의,48.0,1,48.0
